,Compound Score,Date,Negative Score,Neutral Score,Postive Score,Text,Tweets Ago,Username
0,0.0,Sat Jun 09 07:22:07 +0000 2018,0.0,1.0,0.0,G7 summit dogged by divisions between Trump and allies https://t.co/KIa4SMpuwh,1,BBCNews
1,-0.1531,Sat Jun 09 07:06:06 +0000 2018,0.151,0.849,0.0,'No dogs allowed' - but what about my assistance dog? https://t.co/xNAlYEacoO,2,BBCNews
2,-0.128,Sat Jun 09 06:59:22 +0000 2018,0.219,0.592,0.189,Birthday Honours 2018: Network Rail boss made CBE amid travel chaos https://t.co/kHWuDHQ9VV,3,BBCNews
3,0.6369,Sat Jun 09 06:33:42 +0000 2018,0.0,0.724,0.276,Canadian GP: Fernando Alonso says 'I'm one of F1's best ever' https://t.co/p81nnU1g6j,4,BBCNews
4,0.0,Sat Jun 09 05:50:03 +0000 2018,0.0,1.0,0.0,South Africa v England: Siya Kolisi - the Springboks captain uniting a country https://t.co/QTMak9yU1c,5,BBCNews
5,0.0,Sat Jun 09 02:28:36 +0000 2018,0.0,1.0,0.0,Meat traces 'found in supermarket vegetarian meals' https://t.co/SIiQRLgK3Z,6,BBCNews
6,0.0,Sat Jun 09 02:07:26 +0000 2018,0.0,1.0,0.0,Maria Esther Bueno: Brazilian star of 1960s women's tennis dies https://t.co/NMc3hai0V5,7,BBCNews
7,-0.2023,Sat Jun 09 01:16:16 +0000 2018,0.141,0.859,0.0,"Boy, 14, charged over string of moped thefts in north London https://t.co/ulne7N3EOv",8,BBCNews
8,-0.5994,Sat Jun 09 00:15:31 +0000 2018,0.281,0.719,0.0,Pregnant and anorexic: 'I was told my baby could die' https://t.co/agj4vcYoSS,9,BBCNews
9,0.0,Sat Jun 09 00:15:31 +0000 2018,0.0,1.0,0.0,US election 2018: The women lining up to topple Trump https://t.co/1kql7F8lMI,10,BBCNews
10,0.0,Sat Jun 09 00:15:31 +0000 2018,0.0,1.0,0.0,Week in pictures: 2 - 8 June 2018 https://t.co/Yt5FdlgG0H,11,BBCNews
11,-0.3612,Sat Jun 09 00:15:31 +0000 2018,0.2,0.8,0.0,Barbed wire and smuggled crabs: Watching North Korea from China https://t.co/g1OL6JN7gt,12,BBCNews
12,0.0,Sat Jun 09 00:15:31 +0000 2018,0.0,1.0,0.0,Anthony Bourdain: Why his travel shows had global appeal https://t.co/0ek8fVzGLJ,13,BBCNews
13,0.0,Sat Jun 09 00:15:30 +0000 2018,0.0,1.0,0.0,Trump Kim summit: Who's pulling the strings? https://t.co/MYuBFgLPGc,14,BBCNews
14,0.0258,Sat Jun 09 00:15:30 +0000 2018,0.0,0.909,0.091,World Cup 2018: Does form matter for teams competing in Russia? https://t.co/eoIaJmbOZU,15,BBCNews
15,0.0,Sat Jun 09 00:15:30 +0000 2018,0.0,1.0,0.0,It's the world's longest non-stop flight... for now https://t.co/ZUUS3UK2Xn,16,BBCNews
16,-0.6369,Sat Jun 09 00:15:30 +0000 2018,0.318,0.682,0.0,Tayyaba abuse case shines light on Pakistan's child maids https://t.co/mL3puqGfC9,17,BBCNews
17,0.4404,Sat Jun 09 00:15:30 +0000 2018,0.0,0.791,0.209,Suffrage centenary: The women getting creative and going on the march https://t.co/EbQCWL2n2I,18,BBCNews
18,0.3612,Sat Jun 09 00:08:31 +0000 2018,0.0,0.783,0.217,Why Russian workers are being taught how to smile https://t.co/vY98gixMx9,19,BBCNews
19,0.0,Fri Jun 08 23:32:59 +0000 2018,0.0,1.0,0.0,More than a million on social housing waiting lists https://t.co/J3BQozhQUf,20,BBCNews
20,0.0,Fri Jun 08 23:32:59 +0000 2018,0.0,1.0,0.0,Trooping the Colour: Guardsman first to wear turban https://t.co/EiQZvEI7DS,21,BBCNews
21,0.4019,Fri Jun 08 23:32:59 +0000 2018,0.0,0.722,0.278,Business leaders urged to help run schools https://t.co/gIrgtPRcY5,22,BBCNews
22,0.4939,Fri Jun 08 23:15:25 +0000 2018,0.0,0.714,0.286,Queen’s Birthday Honours 2018: Underwater photographer gets MBE https://t.co/MtjFZyjpy0,23,BBCNews
23,-0.4939,Fri Jun 08 23:15:25 +0000 2018,0.262,0.738,0.0,China hackers steal data from US Navy contractor - reports https://t.co/EO3OrqqlRD,24,BBCNews
24,0.2263,Fri Jun 08 23:13:06 +0000 2018,0.184,0.56,0.256,Newspaper headlines: Birthday honours and a disruptive President Trump https://t.co/WE0tztTAEu,25,BBCNews
25,0.1027,Fri Jun 08 23:05:54 +0000 2018,0.167,0.641,0.192,French Open 2018: Simona Halep aims for maiden Grand Slam title https://t.co/ZaDcfJtZV0,26,BBCNews
26,0.4939,Fri Jun 08 22:54:20 +0000 2018,0.0,0.714,0.286,Queen’s Birthday Honours 2018: Lizzy Yarnold becomes OBE https://t.co/npOYSIKoFi,27,BBCNews
27,0.4939,Fri Jun 08 22:54:19 +0000 2018,0.0,0.758,0.242,Queen’s Birthday Honours 2018: MBE for TV gardener Monty Don https://t.co/NLu1eq0cNk,28,BBCNews
28,0.4939,Fri Jun 08 22:54:19 +0000 2018,0.0,0.738,0.262,"Queen’s Birthday Honours 2018: Poppy seller, 103, gets MBE https://t.co/vJmlNdMOEZ",29,BBCNews
29,0.4939,Fri Jun 08 22:54:19 +0000 2018,0.0,0.775,0.225,Queen’s Birthday Honours 2018: Nurse for first HIV patients gets OBE https://t.co/DFtlDgptjO,30,BBCNews
30,0.0,Fri Jun 08 22:54:17 +0000 2018,0.0,1.0,0.0,Leo Varadkar is first taoiseach to visit Orange Order HQ https://t.co/Fz3BqrT4zU,31,BBCNews
31,0.4939,Fri Jun 08 22:35:29 +0000 2018,0.0,0.652,0.348,Could an emoji save your life? https://t.co/yKQEpIIeKy,32,BBCNews
